,Course Name,Prereqs
1842,HILD 11,[]
1843,HILD 2B,[]
1844,HINE 171,[]
1845,HINE 109,[]
1847,HISC 117,[]
1848,HINE 186,[]
1849,HISC 106,[]
1850,HITO 119,[]
1852,HIUS 104,[]
1853,HMNR 100,[]
1854,HUM 1,[]
1860,JAPN 190,[]
1864,LIGN 119,[]
1867,LIGN 17,[]
1868,LIGN 6,[]
1870,LIHL 112W,[]
1871,LIGN 171,[]
1872,LIHL 114W,[]
1873,LIGN 176,[]
1874,LIHL 119W,[]
1875,LIHL 117W,[]
1876,LIHL 124W,[]
1877,LIHL 115W,[]
1878,LIHL 132W,[]
1879,LIHL 134W,[]
1880,LTCS 52,[]
1881,LTEA 141,[]
1882,LTEN 112,[]
1883,LTEN 158,[]
1884,LTEN 22,[]
1885,LTEN 144,[]
1886,LTEN 27,[]
1887,LTEN 192,[]
1888,LTEN 25,[]
1889,LTEN 127,[]
1891,LTEU 105,[]
1905,LTTH 115,[]
1906,LTWL 100,[]
1908,LTWL 184,[]
1910,LTWL 114,[]
1912,LTWL 155,[]
1913,LTWL 87,[]
1915,LTWR 140,[]
1918,MAE 154,[]
1923,MAE 145,[]
1927,MAE 5,[]
1928,MAE 93,[]
1929,MAE 7,[]
1931,MAE 181,[]
1945,MGT 127,[]
1951,MUS 113,[]
1956,MUS 95D,[]
1964,PHIL 105,[]
1966,PHIL 101,[]
1969,PHIL 115,[]
1970,PHIL 141,[]
1972,PHIL 14,[]
1973,PHIL 15,[]
1974,PHIL 152,[]
1975,PHIL 160,[]
1976,PHIL 175,[]
1977,PHIL 35,[]
1978,PHIL 151,[]
1979,PHIL 183,[]
1981,PHIL 87,[]
1986,PHYS 141,[]
1987,PHYS 12,[]
1991,PHYS 178,[]
1992,POLI 100E,[]
1993,POLI 100I,[]
1994,PHYS 7,[]
1995,POLI 100W,[]
1997,POLI 102D,[]
1998,POLI 102G,[]
1999,POLI 100C,[]
2000,POLI 117,[]
2001,POLI 129,[]
2002,POLI 104B,[]
2003,POLI 104N,[]
2004,POLI 113B,[]
2005,POLI 125D,[]
2006,POLI 120A,[]
2007,POLI 120B,[]
2008,POLI 132,[]
2009,POLI 137,[]
2010,POLI 134,[]
2011,POLI 136,[]
2012,POLI 13D,[]
2013,POLI 134J,[]
2014,POLI 163,[]
2015,POLI 164,[]
2016,POLI 147B,[]
2017,POLI 179,[]
2020,POLI 197SD,[]
2021,PSYC 110,[]
2023,PSYC 143,[]
2025,PSYC 161,[]
2027,PSYC 111A,[]
2028,PSYC 125,[]
2029,PSYC 164,[]
2030,PSYC 187,[]
2032,RELI 2,[]
2036,RELI 101,[]
2037,RELI 87,[]
2038,REV 16,[]
2044,SIO 1,[]
2045,SE 131A,[]
2051,SIO 109,[]
2052,SIO 116,[]
2063,SIO 20,[]
2065,SIO 25,[]
2066,SIO 3,[]
2067,SIO 35,[]
2068,SOCI 120T,[]
2069,SOCI 124,[]
2070,SOCI 156,[]
2071,SOCI 162,[]
2072,SOCI 115,[]
2073,SOCI 140K,[]
2074,SOCI 167,[]
2075,SOCI 145,[]
2076,SOCI 188D,[]
2077,SOCI 188E,[]
2078,SOCI 70,[]
2079,SOCI 180,[]
2081,SOCI 168,[]
2084,TDDE 151,[]
2086,TDGE 131,[]
2088,TDHT 22,[]
2089,TDMV 11,[]
2090,TDPF 163,[]
2091,TDHT 108,[]
2092,TDPF 161,[]
2094,TDTR 104,[]
2095,TDTR 20,[]
2096,TMC 15,[]
2097,USP 138,[]
2098,USP 131,[]
2099,USP 141A,[]
2100,TWS 22,[]
2101,USP 143,[]
